perfumeName,price,likeCnt,reviewCnt,brandName,engBrandName
오리지널 머스크 블랜드 NO.1,15000,0,0,키엘,Kiehl's
리브르 오 드 뚜왈렛,29333,0,0,입생로랑,SAINT LAURENT
잉글리쉬 페어 앤 프리지아 코롱,33000,0,0,조말론런던,JO MALONE
미스 디올 오 드 퍼퓸,35000,0,0,디올,DIOR
블랙베리 앤 베이 코롱,33000,0,0,조말론런던,JO MALONE
피오니 앤 블러쉬 스웨이드 코롱,19900,0,0,조말론런던,JO MALONE
피오니 앤 블러쉬 스웨이드 코롱,33000,0,0,조말론런던,JO MALONE
미스 디올 블루밍 부케 롤러-펄 오 드 뚜왈렛,31000,0,0,디올,DIOR
소바쥬 퍼퓸,22666,0,0,디올,DIOR
미스 디올 오 드 퍼퓸,32600,0,0,디올,DIOR
잉글리쉬 페어 앤 프리지아 코롱,19900,0,0,조말론런던,JO MALONE
넥타린 블로썸 앤 허니 코롱,33000,0,0,조말론런던,JO MALONE
블루 드 샤넬 오 드 빠르펭 스프레이,16800,0,0,샤넬,CHANEL
우드 세이지 앤 씨 솔트 코롱,33000,0,0,조말론런던,JO MALONE
우드 세이지 앤 씨 솔트 코롱,19900,0,0,조말론런던,JO MALONE
미스 디올 블루밍 부케 오 드 뚜왈렛,26000,0,0,디올,DIOR
블루 드 샤넬 오 드 뚜왈렛 스프레이,14800,0,0,샤넬,CHANEL
코코 마드모아젤 오 드 빠르펭 스프레이,22700,0,0,샤넬,CHANEL
가브리엘 샤넬 에쌍스 오 드 빠르펭,31142,0,0,샤넬,CHANEL
머르 앤 통카 코롱 인텐스,37800,0,0,조말론런던,JO MALONE
레이지 선데이 모닝 EDT,29666,0,0,메종마르지엘라,Maison Margiela
미스 디올 블루밍 부케 오 드 뚜왈렛,18600,0,0,디올,DIOR
N5 로LEAU 오 드 뚜왈렛 스프레이,31600,0,0,샤넬,CHANEL
가브리엘 샤넬 에쌍스 오 드 빠르펭,23900,0,0,샤넬,CHANEL
미스디올 앱솔루틀리 블루밍 오 드 퍼퓸,33000,0,0,디올,DIOR
