perfumeName,price,likeCnt,reviewCnt,fragranceName
리브르 오 드 뚜왈렛,29333,0,0,플로럴
미스 디올 오 드 퍼퓸,35000,0,0,플로럴
피오니 앤 블러쉬 스웨이드 코롱,19900,0,0,플로럴
피오니 앤 블러쉬 스웨이드 코롱,33000,0,0,플로럴
미스 디올 블루밍 부케 롤러-펄 오 드 뚜왈렛,31000,0,0,플로럴
미스 디올 오 드 퍼퓸,32600,0,0,플로럴
미스 디올 블루밍 부케 오 드 뚜왈렛,26000,0,0,플로럴
코코 마드모아젤 오 드 빠르펭 스프레이,22700,0,0,플로럴
가브리엘 샤넬 에쌍스 오 드 빠르펭,31142,0,0,플로럴
미스 디올 블루밍 부케 오 드 뚜왈렛,18600,0,0,플로럴
N5 로LEAU 오 드 뚜왈렛 스프레이,31600,0,0,플로럴
가브리엘 샤넬 에쌍스 오 드 빠르펭,23900,0,0,플로럴
미스디올 앱솔루틀리 블루밍 오 드 퍼퓸,33000,0,0,플로럴
와일드 블루벨 코롱,33000,0,0,플로럴
코코 마드모아젤 오 드 빠르펭 스프레이,31600,0,0,플로럴
레드 로즈 코롱,33000,0,0,플로럴
오렌지 블로썸 코롱,33000,0,0,플로럴
알뤼르 오 드 빠르펭 스프레이,31600,0,0,플로럴
N5 로LEAU 올-오버 스프레이,5866,0,0,플로럴
자스민 삼박 앤 메리골드 코롱 인텐스,37800,0,0,플로럴
리브르 오 드 뚜왈렛,21555,0,0,플로럴
포에버앤에버 디올 EDT,18600,0,0,플로럴
리브르 오 드 빠르펭 인텐스,33800,0,0,플로럴
리브르 오 드 뚜왈렛,27200,0,0,플로럴
블룸 오 드 퍼퓸,28600,0,0,플로럴
몽 파리 오 드 빠르펭,31800,0,0,플로럴
벨벳 로즈 앤 오드 코롱 인텐스,37800,0,0,플로럴
플레저 오 드 퍼퓸 스프레이,20000,0,0,플로럴
쟈도르 오 드 뚜왈렛,26000,0,0,플로럴
튜버로즈 안젤리카 코롱 인텐스,37800,0,0,플로럴
미스 디올 로즈 앤 로지스,27000,0,0,플로럴
네롤리 & 오키드 오 드 뚜왈렛,11333,0,0,플로럴
블룸 오 드 퍼퓸,35000,0,0,플로럴
델리나오드퍼퓸,42400,0,0,플로럴
알뤼르 오 드 빠르펭 스프레이,22700,0,0,플로럴
샹스 오 땅드르 오 드 빠르펭,28571,0,0,플로럴
쟈도르 오 드 퍼퓸,18933,0,0,플로럴
꾀르 드 솔레이 EDP,11500,0,0,플로럴
벚꽃 오 드 퍼퓸,67500,0,0,플로럴
플라워 마켓 EDT,29666,0,0,플로럴
레 조 드 샤넬 파리-리비에라 오 드 뚜왈렛 스프레이,23000,0,0,플로럴
그린티 센트 스프레이,3500,0,0,플로럴
쟈도르 롤러-펄 오 드 퍼퓸 인피니심,39500,0,0,플로럴
마이웨이,24888,0,0,플로럴
루나EDT,27000,0,0,플로럴
옴브레 레더 EDP,38800,0,0,플로럴
랑세 유제니 오드퍼퓸 포 우,17820,0,0,플로럴
랑세 르방케 오드퍼퓸 포 맨,17820,0,0,플로럴
랑세 헬레네 오드퍼퓸 포 우먼,17820,0,0,플로럴
랑세 유제니 오드퍼퓸 포 우먼,17820,0,0,플로럴
베르두 콜렉션 그랑 크뤼 과리아 모라다 EDP,10800,0,0,플로럴
블룸 암브로시아 디 피오리 오 드 퍼퓸,32000,0,0,플로럴
체리 블라썸 롤-온 오 드 뚜왈렛,28000,0,0,플로럴
로사노벨라 오드코,18000,0,0,플로럴
릴 플레르 오드퍼퓸,33000,0,0,플로럴
가브리엘 샤넬 오 드 빠르펭,31142,0,0,플로럴
알뤼르 오 드 빠르펭 스프레이,28571,0,0,플로럴
가브리엘 샤넬 오드 빠르펭,23900,0,0,플로럴
가브리엘 샤넬 에쌍스 오 드 빠르펭,33200,0,0,플로럴
그린티 센트스프레이,5000,0,0,플로럴
디오리시모 오드 뚜왈렛,18600,0,0,플로럴
오렌지 블라썸 EDT,36666,0,0,플로럴
쟈도르 오 드 뚜왈렛,18600,0,0,플로럴
몽 파리 오 드 빠르펭,25333,0,0,플로럴
쟈도르 오 드 퍼퓸 인피니심,34000,0,0,플로럴
N5 로LEAU 오 드 뚜왈렛 스프레이,22700,0,0,플로럴
플레저 오 드 퍼퓸 스프레이,25333,0,0,플로럴
로사 노빌레 헤어미스트,15000,0,0,플로럴
플레저 인텐스 오 드 퍼퓸 스프레이,19800,0,0,플로럴
오드퍼퓸 베티베리오,29333,0,0,플로럴
델리나헤어퍼퓸,11066,0,0,플로럴
굿 걸 곤 배드 바이 킬리안,61600,0,0,플로럴
자스민 삼박 앤 메리골드 코롱 인텐스,27000,0,0,플로럴
비터 피치 EDP,87800,0,0,플로럴
씨 패션 오 드 퍼퓸,33333,0,0,플로럴
블룸 프로푸모 디 피오리 오 드 퍼퓸,28600,0,0,플로럴
벚꽃 오 드 퍼퓸,31000,0,0,플로럴
샹스 오 드 빠르펭 스프레이,22700,0,0,플로럴
켈리 깔레쉬 오드뚜왈렛,21000,0,0,플로럴
피브완 플로라 오 드 뚜왈렛,10000,0,0,플로럴
쟈도르 압솔뤼 EDP,30266,0,0,플로럴
비터 피치 EDP,58800,0,0,플로럴
쟈도르 오 드 퍼퓸 인피니심,24500,0,0,플로럴
샹스 오 비브 오 드 뚜왈렛 스프레이,18600,0,0,플로럴
체리 블라썸 오 드 뚜왈렛,10000,0,0,플로럴
쟈도르 압솔뤼 EDP,38000,0,0,플로럴
신테틱 정글,66000,0,0,플로럴
블룸 프로푸모 디 피오리 오 드 퍼퓸,20100,0,0,플로럴
마차 메디테이션,17500,0,0,플로럴
미스디올 앱솔루틀리 블루밍 오 드 퍼퓸,22700,0,0,플로럴
델리나익스클루시브퍼퓸,45600,0,0,플로럴
오렌지 블라썸 EDT,19400,0,0,플로럴
가브리엘 샤넬 오드 빠르펭,33200,0,0,플로럴
롤링 인 러브,61600,0,0,플로럴
옴브레 레더 EDP,26100,0,0,플로럴
델리나라로제오드퍼퓸,39866,0,0,플로럴
로즈 프릭 EDP,87800,0,0,플로럴
블룸 프로푸모 디 피오리 오 드 퍼퓸,35000,0,0,플로럴
샹스 오 비브 오 드 뚜왈렛 스프레이,26000,0,0,플로럴
디올 어딕트 오 드 퍼퓸,22700,0,0,플로럴
운 자르뎅 수 르 뜨와 오드뚜왈렛,23600,0,0,플로럴
세일링 데이 EDT,29666,0,0,플로럴
옴브레 레더 퍼퓸,45400,0,0,플로럴
사보이 스팀 EDP,27000,0,0,플로럴
랑떼르디 오 드 퍼퓸 롤 온,22000,0,0,플로럴
블룸 암브로시아 디 피오리 오 드 퍼퓸,22100,0,0,플로럴
N5 오 드 뚜왈렛 스프레이,18600,0,0,플로럴
비치 워크 EDT,29666,0,0,플로럴
플라워 마켓 EDT,17500,0,0,플로럴
세일링 데이 EDT,17500,0,0,플로럴
운 자르뎅 수르 라 라군 오드뚜왈렛,26666,0,0,플로럴
데인저러스컴플리시티오드퍼퓸,28000,0,0,플로럴
로즈 온 아이스,56000,0,0,플로럴
아쿠아 님프 오드 뜨왈렛,9500,0,0,플로럴
버블 바스 EDT,17500,0,0,플로럴
비치 워크 EDT,17500,0,0,플로럴
